Timestamp,Caller Number,Receiver Number,Call Type,Duration (seconds)
2025-04-20 10:47:22,+1-609-546-5813,+1-733-153-5691,Incoming,698
2025-04-20 12:46:41,+1-392-757-9032,+1-625-666-3000,Incoming,2042
2025-04-20 16:47:30,+1-681-324-5464,+1-747-472-2870,Incoming,1306
2025-04-20 19:15:13,+1-704-825-1116,+1-534-897-4529,Outgoing,205
2025-04-20 22:50:01,+1-262-087-6473,+1-863-798-2864,Outgoing,1577
2025-04-20 23:29:29,+1-917-898-2089,+1-751-389-0154,Incoming,2270
2025-04-21 00:11:55,+1-778-355-1918,+1-304-422-2919,Incoming,1030
2025-04-21 00:46:18,+1-725-856-3755,+1-879-199-8746,Incoming,1882
2025-04-21 01:31:16,+1-743-331-5720,+1-751-389-0154,Incoming,1228
2025-04-21 03:45:15,+1-239-575-1504,+1-997-148-9274,Outgoing,239
2025-04-21 08:13:02,+1-336-034-0856,+1-970-083-4122,Outgoing,2176
2025-04-21 09:53:01,+1-609-546-5813,+1-495-795-8600,Incoming,1366
2025-04-21 11:20:02,+1-245-817-6228,+1-802-563-5091,Outgoing,1946
2025-04-21 11:50:40,+1-755-153-2550,+1-914-177-7487,Outgoing,1204
2025-04-21 12:01:12,+1-986-803-8944,+1-652-784-3268,Outgoing,1311
2025-04-21 12:05:50,+1-701-709-2070,+1-724-021-0481,Outgoing,1399
2025-04-21 13:59:53,+1-735-440-4855,+1-701-709-2070,Outgoing,104
2025-04-21 14:32:55,+1-415-031-9271,+1-711-739-0619,Outgoing,234
2025-04-21 15:40:31,+1-416-080-1258,+1-507-874-8862,Incoming,1732
2025-04-21 15:58:33,+1-744-140-1281,+1-271-115-5503,Outgoing,1927
2025-04-21 16:07:16,+1-550-079-6482,+1-666-268-7073,Outgoing,1836
2025-04-21 17:04:59,+1-317-070-4686,+1-379-513-3131,Incoming,1027
2025-04-21 19:41:42,+1-716-877-1522,+1-591-510-4944,Outgoing,1449
2025-04-22 00:52:59,+1-505-976-4169,+1-934-336-8997,Incoming,1233
2025-04-22 02:12:29,+1-538-839-0017,+1-417-846-4721,Incoming,594
2025-04-22 04:52:40,+1-778-355-1918,+1-921-626-7580,Incoming,889
2025-04-22 05:17:26,+1-505-976-4169,+1-642-188-7352,Incoming,1213
2025-04-22 08:11:20,+1-495-795-8600,+1-972-522-0848,Incoming,1825
2025-04-22 08:56:28,+1-652-784-3268,+1-323-915-3780,Outgoing,582
2025-04-22 09:50:20,+1-682-248-5131,+1-727-956-8878,Outgoing,914
2025-04-22 10:36:38,+1-772-435-3599,+1-871-672-8817,Missed,0
2025-04-22 11:31:30,+1-799-492-4228,+1-300-576-1965,Incoming,1169
2025-04-22 13:54:59,+1-939-872-1503,+1-280-786-7759,Outgoing,1175
2025-04-22 16:07:55,+1-863-798-2864,+1-799-492-4228,Incoming,1178
2025-04-22 16:13:49,+1-749-040-5587,+1-625-666-3000,Incoming,2003
2025-04-22 16:34:27,+1-842-982-3264,+1-727-956-8878,Outgoing,1873
2025-04-22 23:10:18,+1-711-739-0619,+1-874-586-3601,Outgoing,524
2025-04-23 00:07:45,+1-986-803-8944,+1-642-188-7352,Incoming,1516
2025-04-23 01:15:54,+1-304-422-2919,+1-778-355-1918,Outgoing,399
2025-04-23 03:25:24,+1-408-667-0750,+1-417-846-4721,Outgoing,979
2025-04-23 03:49:54,+1-368-668-2214,+1-609-546-5813,Incoming,1620
2025-04-23 04:57:08,+1-928-938-0059,+1-716-877-1522,Incoming,1399
2025-04-23 05:26:49,+1-926-041-5256,+1-666-268-7073,Outgoing,737
2025-04-23 06:04:11,+1-330-444-3975,+1-716-877-1522,Incoming,1533
2025-04-23 06:10:55,+1-534-897-4529,+1-926-041-5256,Incoming,2377
2025-04-23 06:28:44,+1-482-457-2944,+1-657-548-4793,Incoming,2023
2025-04-23 08:33:03,+1-970-083-4122,+1-252-741-5548,Outgoing,394
2025-04-23 09:33:20,+1-510-246-9264,+1-909-912-1551,Incoming,982
2025-04-23 10:53:07,+1-400-101-6975,+1-928-938-0059,Outgoing,51
2025-04-23 11:07:40,+1-300-576-1965,+1-379-513-3131,Outgoing,234
2025-04-23 13:03:59,+1-716-877-1522,+1-652-784-3268,Outgoing,2012
2025-04-23 16:15:59,+1-412-238-7552,+1-641-472-8434,Incoming,749
2025-04-23 18:05:12,+1-245-817-6228,+1-641-472-8434,Incoming,61
2025-04-23 22:24:18,+1-747-472-2870,+1-415-031-9271,Outgoing,1404
2025-04-23 23:22:08,+1-702-978-7745,+1-755-153-2550,Incoming,784
2025-04-24 02:20:45,+1-822-589-1942,+1-252-741-5548,Outgoing,2116
2025-04-24 04:10:39,+1-763-782-0122,+1-928-938-0059,Incoming,346
2025-04-24 04:35:45,+1-917-898-2089,+1-724-021-0481,Incoming,958
2025-04-24 07:48:55,+1-315-723-4640,+1-725-856-3755,Incoming,2167
2025-04-24 09:15:41,+1-711-739-0619,+1-550-079-6482,Incoming,1589
2025-04-24 10:38:23,+1-412-238-7552,+1-802-563-5091,Outgoing,526
2025-04-24 11:01:58,+1-934-336-8997,+1-591-510-4944,Outgoing,1130
2025-04-24 14:32:38,+1-879-199-8746,+1-788-386-5909,Incoming,128
2025-04-24 14:34:41,+1-778-355-1918,+1-894-697-8450,Incoming,1792
2025-04-24 16:04:46,+1-649-718-0779,+1-639-138-1129,Incoming,1533
2025-04-24 16:25:29,+1-571-548-3525,+1-963-663-6192,Outgoing,1993
2025-04-24 16:57:36,+1-556-093-0358,+1-639-138-1129,Outgoing,1771
