Timestamp,Sender Number,Receiver Number,Message Length (characters)
2025-03-27 08:43:31,+1-884-032-0989,+1-622-320-6348,19
2025-03-27 08:45:27,+1-701-662-9025,+1-507-597-3447,630
2025-03-27 08:46:30,+1-514-212-7302,+1-932-156-0196,55
2025-03-27 08:58:03,+1-791-044-5126,+1-886-760-3795,304
2025-03-27 09:04:27,+1-291-823-9089,+1-703-730-8622,52
2025-03-27 09:05:57,+1-829-417-7670,+1-275-618-8547,190
2025-03-27 09:08:18,+1-500-604-1285,+1-512-019-3568,479
2025-03-27 09:11:17,+1-839-653-1952,+1-324-476-5397,471
2025-03-27 09:15:16,+1-413-521-4948,+1-500-604-1285,296
2025-03-27 09:17:04,+1-505-639-3142,+1-323-461-6872,652
2025-03-27 09:17:19,+1-511-785-3928,+1-935-969-6422,451
2025-03-27 09:18:17,+1-858-044-7583,+1-773-421-0237,294
2025-03-27 09:21:47,+1-865-849-9475,+1-771-012-6711,186
2025-03-27 09:22:23,+1-372-617-8977,+1-884-659-0312,32
2025-03-27 09:33:24,+1-476-605-8344,+1-374-896-8527,289
2025-03-27 09:35:09,+1-426-271-5624,+1-407-721-9006,118
2025-03-27 09:38:16,+1-613-147-7669,+1-292-292-4752,300
2025-03-27 09:41:29,+1-944-234-1502,+1-699-572-1187,691
2025-03-27 09:46:49,+1-712-744-3373,+1-750-367-0845,183
2025-03-27 09:50:04,+1-886-760-3795,+1-855-005-3655,562
2025-03-27 09:54:04,+1-427-600-6151,+1-340-456-4970,398
2025-03-27 09:55:24,+1-618-097-7960,+1-678-858-2833,386
2025-03-27 10:00:33,+1-703-730-8622,+1-464-610-4439,419
2025-03-27 10:02:15,+1-660-842-9967,+1-857-025-5310,291
2025-03-27 10:02:32,+1-803-317-5759,+1-288-547-9533,38
2025-03-27 10:06:52,+1-512-019-3568,+1-973-393-9922,632
2025-03-27 10:15:42,+1-864-528-0682,+1-394-915-2754,472
2025-03-27 10:22:19,+1-612-667-1123,+1-507-597-3447,630
2025-03-27 10:23:33,+1-330-208-3592,+1-550-675-3535,382
2025-03-27 10:23:41,+1-588-548-7492,+1-325-522-9169,152
2025-03-27 10:24:47,+1-747-426-4721,+1-484-127-1429,631
2025-03-27 10:25:10,+1-910-085-0389,+1-682-770-0819,530
2025-03-27 10:25:33,+1-567-492-7139,+1-631-868-7795,619
2025-03-27 10:36:09,+1-374-181-0640,+1-735-177-9505,650
2025-03-27 10:40:06,+1-277-818-8953,+1-248-793-6100,352
2025-03-27 10:44:25,+1-823-327-2664,+1-685-975-4662,157
2025-03-27 10:45:11,+1-935-969-6422,+1-622-320-6348,34
2025-03-27 10:45:41,+1-426-903-8293,+1-470-745-1391,194
2025-03-27 10:49:20,+1-943-570-9335,+1-701-231-6492,465
2025-03-27 11:00:39,+1-613-620-6603,+1-390-644-5624,632
2025-03-27 11:16:20,+1-848-277-4384,+1-297-161-8807,600
2025-03-27 11:23:03,+1-680-461-1884,+1-862-588-4770,342
2025-03-27 11:23:31,+1-347-003-6863,+1-343-749-6828,196
2025-03-27 11:28:20,+1-938-056-6222,+1-638-812-4154,36
2025-03-27 11:29:36,+1-865-849-9475,+1-323-461-6872,334
2025-03-27 11:29:49,+1-407-721-9006,+1-994-203-1998,53
2025-03-27 11:31:59,+1-387-485-0837,+1-940-930-3514,520
2025-03-27 11:36:02,+1-454-685-1387,+1-864-528-0682,517
2025-03-27 11:44:32,+1-944-545-5905,+1-940-204-6907,207
2025-03-27 11:56:04,+1-729-272-7180,+1-263-019-8611,446
2025-03-27 11:58:08,+1-772-182-9889,+1-481-630-1790,323
2025-03-27 11:58:19,+1-454-685-1387,+1-359-262-5778,272
2025-03-27 11:59:40,+1-763-164-5072,+1-700-256-2983,170
2025-03-27 12:04:25,+1-703-730-8622,+1-940-070-3938,156
2025-03-27 12:12:02,+1-842-826-5470,+1-295-042-6130,501
2025-03-27 12:16:03,+1-322-799-5579,+1-944-234-1502,90
2025-03-27 12:19:19,+1-474-243-7246,+1-223-326-1695,200
2025-03-27 12:19:54,+1-681-178-1955,+1-601-962-4142,43
2025-03-27 12:42:53,+1-562-450-3770,+1-864-528-0682,456
2025-03-27 12:44:38,+1-688-155-1324,+1-446-843-1527,474
2025-03-27 12:45:58,+1-530-174-5009,+1-945-431-6103,180
2025-03-27 12:47:48,+1-856-579-1136,+1-998-375-8415,623
2025-03-27 12:49:07,+1-437-198-5310,+1-856-215-5059,161
2025-03-27 12:53:24,+1-636-478-7733,+1-470-751-2903,55
2025-03-27 12:54:24,+1-910-085-0389,+1-543-873-0490,362
2025-03-27 12:56:58,+1-435-328-6556,+1-940-930-3514,347
2025-03-27 12:58:35,+1-998-552-5793,+1-465-722-6348,562
2025-03-27 12:59:58,+1-494-703-7043,+1-407-721-9006,27
2025-03-27 13:05:40,+1-593-413-5362,+1-734-301-0176,455
2025-03-27 13:14:20,+1-631-868-7795,+1-593-990-7621,357
2025-03-27 13:16:17,+1-374-896-8527,+1-658-323-3506,651
2025-03-27 13:16:41,+1-971-879-4661,+1-857-331-2783,261
2025-03-27 13:17:32,+1-291-823-9089,+1-850-864-6106,406
2025-03-27 13:19:33,+1-753-586-3305,+1-569-242-7213,283
2025-03-27 13:21:02,+1-622-320-6348,+1-470-751-2903,193
2025-03-27 13:22:55,+1-747-729-2554,+1-618-222-5443,340
2025-03-27 13:24:26,+1-580-843-2174,+1-387-485-0837,446
2025-03-27 13:31:56,+1-390-083-6700,+1-953-958-0321,556
2025-03-27 13:38:25,+1-680-594-5626,+1-785-495-0670,226
2025-03-27 13:41:02,+1-810-332-6150,+1-295-491-9949,348
2025-03-27 13:54:38,+1-470-751-2903,+1-505-639-3142,207
2025-03-27 13:54:41,+1-855-005-3655,+1-437-289-8960,654
2025-03-27 13:57:50,+1-253-462-5401,+1-443-117-9241,52
2025-03-27 14:05:35,+1-712-918-3492,+1-316-130-7263,38
2025-03-27 14:06:01,+1-344-320-8290,+1-550-675-3535,82
2025-03-27 14:06:04,+1-227-419-5337,+1-248-866-5277,263
2025-03-27 14:15:36,+1-704-857-7363,+1-617-959-6575,640
2025-03-27 14:20:19,+1-998-552-5793,+1-248-346-7939,586
2025-03-27 14:21:11,+1-584-210-1182,+1-760-901-3933,549
2025-03-27 14:29:25,+1-940-070-3938,+1-528-514-7188,690
2025-03-27 14:32:08,+1-316-130-7263,+1-407-721-9006,676
2025-03-27 14:32:56,+1-754-392-6671,+1-969-833-8956,510
2025-03-27 14:33:38,+1-465-762-6841,+1-254-548-8411,500
2025-03-27 14:45:33,+1-295-142-1762,+1-446-843-1527,76
2025-03-27 14:50:44,+1-481-630-1790,+1-624-179-5443,502
2025-03-27 14:52:03,+1-923-653-6522,+1-778-758-5096,567
2025-03-27 14:52:57,+1-753-586-3305,+1-532-157-2236,447
2025-03-27 14:59:36,+1-701-662-9025,+1-678-858-2833,561
2025-03-27 15:02:26,+1-316-130-7263,+1-428-593-8308,419
2025-03-27 15:15:43,+1-483-545-6424,+1-254-548-8411,94
2025-03-27 15:17:52,+1-939-660-6457,+1-716-795-8555,134
2025-03-27 15:19:35,+1-852-134-4102,+1-485-324-2586,449
2025-03-27 15:19:47,+1-970-649-6943,+1-736-803-3518,396
2025-03-27 15:34:32,+1-294-415-5975,+1-810-332-6150,456
2025-03-27 15:37:21,+1-314-335-0108,+1-289-855-6297,92
2025-03-27 15:38:20,+1-333-906-4348,+1-286-592-5133,433
2025-03-27 15:39:09,+1-786-019-1363,+1-515-785-5310,573
2025-03-27 15:46:47,+1-682-770-0819,+1-419-115-0651,498
2025-03-27 15:57:41,+1-581-094-0413,+1-629-540-7184,259
2025-03-27 16:02:04,+1-652-073-8316,+1-340-687-0311,542
2025-03-27 16:04:08,+1-873-562-0970,+1-476-959-2786,323
2025-03-27 16:07:41,+1-611-203-7537,+1-248-793-6100,549
2025-03-27 16:13:43,+1-617-959-6575,+1-721-226-1935,673
2025-03-27 16:17:27,+1-477-842-8900,+1-336-189-9745,426
2025-03-27 16:23:14,+1-295-142-1762,+1-465-722-6348,599
2025-03-27 16:28:18,+1-712-918-3492,+1-923-653-6522,191
2025-03-27 16:30:43,+1-686-206-0970,+1-512-602-2354,85
2025-03-27 16:33:34,+1-731-295-2841,+1-965-499-5588,286
2025-03-27 16:39:18,+1-978-550-8475,+1-969-833-8956,185
2025-03-27 16:45:29,+1-317-782-1518,+1-707-232-3861,242
2025-03-27 16:49:43,+1-514-124-1265,+1-619-477-5112,261
2025-03-27 16:51:14,+1-387-708-5122,+1-660-001-6601,157
2025-03-27 16:51:28,+1-593-413-5362,+1-248-346-7939,30
2025-03-27 16:52:03,+1-427-600-6151,+1-366-310-2525,226
2025-03-27 16:53:00,+1-317-885-2675,+1-459-784-0317,466
2025-03-27 16:53:08,+1-200-323-7519,+1-848-277-4384,570
2025-03-27 16:53:43,+1-514-124-1265,+1-581-094-0413,375
2025-03-27 16:57:55,+1-730-558-6031,+1-387-708-5122,226
2025-03-27 17:07:47,+1-713-471-2898,+1-390-017-9983,39
2025-03-27 17:18:35,+1-531-185-2393,+1-927-755-4117,50
2025-03-27 17:19:54,+1-534-611-9989,+1-289-855-6297,172
2025-03-27 17:31:17,+1-206-362-2809,+1-351-378-2132,605
2025-03-27 17:33:39,+1-886-342-6439,+1-803-536-4165,268
2025-03-27 17:39:38,+1-842-946-7062,+1-572-294-3743,506
2025-03-27 17:50:10,+1-288-547-9533,+1-437-289-8960,143
2025-03-27 17:57:11,+1-406-281-1458,+1-839-653-1952,394
2025-03-27 18:18:51,+1-588-926-8473,+1-523-001-0643,141
2025-03-27 18:20:01,+1-973-393-9922,+1-320-337-1716,278
2025-03-27 18:20:21,+1-295-142-1762,+1-423-359-1828,348
2025-03-27 18:21:22,+1-505-639-3142,+1-335-667-7748,609
2025-03-27 18:25:11,+1-483-545-6424,+1-323-461-6872,265
2025-03-27 18:25:55,+1-429-026-2516,+1-509-216-6464,173
2025-03-27 18:27:29,+1-570-611-6399,+1-277-818-8953,351
2025-03-27 18:30:19,+1-848-277-4384,+1-652-692-2135,613
2025-03-27 18:40:08,+1-412-639-5835,+1-317-782-1518,330
2025-03-27 18:40:23,+1-998-964-5226,+1-850-864-6106,243
2025-03-27 18:42:12,+1-737-066-4530,+1-265-165-1059,659
2025-03-27 18:46:55,+1-470-745-1391,+1-711-206-2212,679
2025-03-27 18:47:05,+1-748-585-1270,+1-474-243-7246,483
2025-03-27 18:57:26,+1-354-815-4636,+1-438-498-3154,556
2025-03-27 18:57:38,+1-426-903-8293,+1-275-601-5225,528
2025-03-27 19:02:42,+1-593-990-7621,+1-807-629-4083,179
2025-03-27 19:09:36,+1-530-174-5009,+1-248-866-5277,218
2025-03-27 19:14:56,+1-970-649-6943,+1-898-624-7699,214
2025-03-27 19:17:52,+1-589-101-0759,+1-325-522-9169,568
2025-03-27 19:40:12,+1-248-793-6100,+1-438-498-3154,116
2025-03-27 19:47:28,+1-282-146-4751,+1-387-586-3375,76
2025-03-27 19:48:44,+1-778-758-5096,+1-587-752-3881,363
2025-03-27 20:07:23,+1-222-683-3872,+1-512-019-3568,329
2025-03-27 20:17:47,+1-722-254-8299,+1-512-602-2354,150
2025-03-27 20:20:57,+1-206-362-2809,+1-877-071-0170,63
2025-03-27 20:23:14,+1-704-857-7363,+1-387-586-3375,116
2025-03-27 20:23:40,+1-423-248-9651,+1-470-751-2903,278
2025-03-27 20:24:55,+1-295-491-9949,+1-520-969-7579,157
2025-03-27 20:26:10,+1-539-040-1426,+1-930-936-0279,662
2025-03-27 20:28:56,+1-811-219-0374,+1-643-555-6298,102
2025-03-27 20:33:49,+1-207-762-9717,+1-948-250-2999,337
2025-03-27 20:38:29,+1-513-489-8823,+1-427-600-6151,458
2025-03-27 20:39:05,+1-938-019-5826,+1-635-389-0700,239
2025-03-27 20:41:35,+1-951-321-7332,+1-347-003-6863,495
2025-03-27 20:41:50,+1-235-860-9766,+1-679-294-5178,176
2025-03-27 20:46:36,+1-359-262-5778,+1-250-046-1486,533
2025-03-27 20:53:51,+1-973-183-9038,+1-943-570-9335,629
2025-03-27 21:03:20,+1-652-692-2135,+1-652-073-8316,191
2025-03-27 21:12:43,+1-532-157-2236,+1-587-752-8582,235
2025-03-27 21:24:40,+1-387-708-5122,+1-550-675-3535,390
2025-03-27 21:24:56,+1-505-639-3142,+1-855-005-3655,622
2025-03-27 21:25:52,+1-516-493-1358,+1-681-898-4244,619
2025-03-27 21:29:29,+1-754-392-6671,+1-665-029-2980,221
2025-03-27 21:31:18,+1-652-692-2135,+1-631-868-7795,17
2025-03-27 21:34:56,+1-524-395-9860,+1-282-146-4751,453
2025-03-27 21:38:05,+1-494-703-7043,+1-412-639-5835,132
2025-03-27 21:38:49,+1-867-009-2571,+1-757-278-2609,652
2025-03-27 21:40:36,+1-834-916-3625,+1-685-975-4662,525
2025-03-27 21:42:59,+1-536-926-0356,+1-327-282-4544,441
2025-03-27 21:44:56,+1-426-903-8293,+1-785-495-0670,111
2025-03-27 21:53:04,+1-321-718-2189,+1-366-310-2525,494
2025-03-27 21:54:33,+1-871-631-7037,+1-507-370-8460,424
